alg_name,algorithm,parameters
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 10, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 20, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 20, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 20, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 20, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 20, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 20, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 10, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 20, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 20, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 20, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 20}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 20, 'min_samples_split': 5}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 20, 'min_samples_split': 10}"
DecisionTreeClassifier,5b8599e33cca08f36c549e95,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 20, 'min_samples_split': 20}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 5, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 5, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 10, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 10, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 5, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 5, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 10, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 10, 'n_estimators': 250, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 100, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 100, 'subsample': 1}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 250, 'subsample': 0.5}"
GradientBoostingClassifier,5b8599e33cca08f36c549e9a,"{'learning_rate': 0.01, 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 20, 'n_estimators': 250, 'subsample': 1}"
