parameters	r2_cv_mean	explained_variance_cv_mean	neg_mean_squared_error_cv_mean	neg_mean_absolute_error_cv_mean	time	seed	dataset	algorithm	_id
{'C': 100, 'cache_size': 700, 'coef0': 0.0, 'degree': 2, 'epsilon': 0.1, 'gamma': 100, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.0001, 'verbose': False}	-0.021444572927967344	0.0031397738878262025	-0.9969922151791608	-0.8329536343557938	0.009854412078857422	24800	601_fri_c1_250_5	SVR	10e2b9d5a76f76ea810b8ebdb5d87639752078b669a6321ae03710fe84989e07
{'C': 0.1, 'cache_size': 700, 'coef0': 1, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.001, 'verbose': False}	0.13886344163271794	0.2527251312804349	-172.35336554599792	-9.710352196632297	0.01097111701965332	24800	505_tecator	SVR	6d403dd591e06a08e06d44cab92f0c18eee79f14fec1521f580b5258eaa2b39e
{'alpha': 0.9, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'ls', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 20, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'presort': 'auto', 'random_state': 24800, 'subsample': 0.5, 'verbose': 0, 'warm_start': False}	0.53016898081327	0.5510307714068758	-0.44753343273212864	-0.5327300360040154	0.047903656959533684	24800	631_fri_c1_500_5	GradientBoostingRegressor	62452b1bcfd084665f4d4455044a2c9ef28a760a6b03a9859f75cac67acc61c0
{'bootstrap': 'true', 'criterion': 'mse', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.2, 'n_estimators': 100, 'n_jobs': 1, 'oob_score': False, 'random_state': 24800, 'verbose': 0, 'warm_start': False}	0.28078790341403204	0.29526230936673503	-0.7028726990120733	-0.6669169511516699	0.13520348072052002	24800	643_fri_c2_500_25	RandomForestRegressor	851a6d9bcd035c0f48784434e65c0061989851a2a02ad811fe60bee0032a40d6
{'C': 0.1, 'cache_size': 700, 'coef0': 10, 'degree': 3, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf', 'max_iter': 10000, 'shrinking': True, 'tol': 0.1, 'verbose': False}	0.0523781503548269	0.15593323900762154	-0.9144379762908076	-0.723145346208771	0.0038614511489868174	24800	657_fri_c2_250_10	SVR	ee2d256d76071474287854b8b083bb2daa6bb423ecc8e981c54f60dddc97c857
{'C': 100, 'cache_size': 700, 'coef0': 0.001, 'degree': 2, 'epsilon': 0.1, 'gamma': 100, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 0.0001, 'verbose': False}	-0.19564224472973288	-0.1839588543675399	-1.135078572565837	-0.8365549862924041	0.06081700325012208	24800	645_fri_c3_500_50	SVR	e5a1f5bc8687eaeb2281141da3f7da66fb8107800c96eb130654df3d0a42b37d
{'criterion': 'mse', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.15, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.4621977884723732	0.4717611847165466	-0.5256873175274117	-0.580307214173957	0.013308429718017578	24800	590_fri_c0_1000_50	DecisionTreeRegressor	9e33b264849c4aa8288e949a4daf39ce147b5feb3b094efc981e1c0cb78c0755
{'C': 10, 'cache_size': 700, 'coef0': 0.0001, 'degree': 2, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 10000, 'shrinking': True, 'tol': 1e-05, 'verbose': False}	0.1089557752244448	0.13365715685489993	-0.8833624809338794	-0.7572936340395094	0.10146279335021972	24800	618_fri_c3_1000_50	SVR	c586e799cd11dbc13482783b78286272fea15e0451abc567718230ebfadfa4bb
{'bootstrap': 'false', 'criterion': 'mae', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 10, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.1, 'n_estimators': 500, 'n_jobs': 1, 'oob_score': False, 'random_state': 24800, 'verbose': 0, 'warm_start': False}	0.3571401637818426	0.39608969066568056	-0.600357960979591	-0.6212323700265101	1.3500007152557374	24800	605_fri_c2_250_25	RandomForestRegressor	753fbf492838572037dc4352ccb69e0da2f73fc4af55037caea8831f4bcef72c
{'criterion': 'mae', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.05, 'presort': False, 'random_state': 24800, 'splitter': 'best'}	0.015986935590916632	0.09307294147157186	-0.8520316972900172	-0.7158764414582401	0.0008542537689208982	24800	621_fri_c0_100_10	DecisionTreeRegressor	4e432a695bdbced12866f87e183643fa062977454f8e386d38013894bf3beb85
